subtile_id,split,size,overlap
32_464_5487_91,train,640,20
32_456_5429_72,train,640,20
32_462_5482_61,train,640,20
32_411_5317_93,train,640,20
32_458_5430_14,train,640,20
32_465_5482_10,train,640,20
32_413_5318_71,train,640,20
32_454_5430_41,train,640,20
32_467_5482_30,train,640,20
32_454_5428_72,train,640,20
32_455_5428_60,train,640,20
32_456_5427_42,train,640,20
32_417_5315_26,train,640,20
32_456_5427_30,train,640,20
32_464_5483_72,train,640,20
32_466_5483_78,train,640,20
32_413_5317_89,train,640,20
32_411_5318_93,train,640,20
32_461_5426_71,train,640,20
32_461_5481_27,train,640,20
32_411_5318_49,train,640,20
32_466_5483_8,train,640,20
32_412_5317_79,train,640,20
32_458_5430_21,train,640,20
32_454_5428_11,train,640,20
32_417_5315_3,train,640,20
32_410_5316_63,train,640,20
32_467_5484_77,train,640,20
32_462_5482_39,train,640,20
32_412_5318_78,train,640,20
32_468_5483_63,train,640,20
32_454_5428_64,train,640,20
32_409_5316_75,train,640,20
32_464_5484_22,train,640,20
32_410_5316_8,train,640,20
32_460_5427_21,train,640,20
32_455_5432_66,train,640,20
32_411_5316_10,train,640,20
32_454_5429_91,train,640,20
32_409_5316_36,train,640,20
32_461_5426_11,train,640,20
32_460_5427_62,train,640,20
32_462_5483_45,train,640,20
32_462_5481_23,train,640,20
32_416_5316_97,train,640,20
32_410_5318_17,train,640,20
32_462_5481_96,train,640,20
32_456_5427_72,train,640,20
32_415_5315_42,train,640,20
32_462_5481_94,train,640,20
32_466_5482_43,train,640,20
32_410_5318_61,train,640,20
32_412_5316_60,train,640,20
32_464_5484_1,train,640,20
32_462_5483_66,train,640,20
32_454_5427_4,train,640,20
32_468_5483_86,train,640,20
32_465_5482_57,train,640,20
32_465_5482_81,train,640,20
32_458_5428_24,train,640,20
32_456_5427_38,train,640,20
32_410_5317_64,train,640,20
32_411_5316_20,train,640,20
32_455_5428_30,train,640,20
32_455_5433_85,train,640,20
32_462_5483_28,train,640,20
32_455_5427_45,train,640,20
32_465_5482_90,train,640,20
32_461_5483_14,train,640,20
32_461_5482_40,train,640,20
32_413_5318_85,train,640,20
32_411_5317_28,train,640,20
32_461_5482_68,train,640,20
32_412_5317_70,train,640,20
32_463_5481_7,train,640,20
32_454_5431_41,train,640,20
32_456_5428_96,train,640,20
32_461_5484_89,train,640,20
32_459_5432_85,train,640,20
32_466_5482_16,train,640,20
32_453_5428_35,train,640,20
32_409_5316_16,train,640,20
32_466_5484_57,train,640,20
32_458_5429_49,train,640,20
32_461_5484_67,train,640,20
32_416_5315_40,train,640,20
32_464_5484_98,train,640,20
32_409_5315_16,train,640,20
32_454_5428_2,train,640,20
32_462_5481_24,train,640,20
32_412_5317_31,train,640,20
32_463_5486_86,train,640,20
32_461_5483_88,train,640,20
32_457_5428_99,train,640,20
32_412_5314_18,train,640,20
32_417_5316_80,train,640,20
32_412_5315_83,train,640,20
32_456_5427_63,train,640,20
32_468_5483_4,train,640,20
32_455_5427_28,train,640,20
32_409_5316_5,train,640,20
32_462_5481_48,train,640,20
32_463_5486_76,train,640,20
32_456_5428_90,train,640,20
32_410_5316_53,train,640,20
32_459_5484_41,train,640,20
32_467_5482_20,train,640,20
32_413_5320_70,train,640,20
32_416_5316_80,train,640,20
32_413_5315_65,train,640,20
32_415_5315_45,train,640,20
32_461_5482_16,train,640,20
32_460_5427_28,train,640,20
32_462_5481_34,train,640,20
32_456_5427_20,train,640,20
32_461_5483_5,train,640,20
32_457_5428_80,train,640,20
32_465_5480_31,train,640,20
32_455_5427_5,train,640,20
32_412_5318_81,train,640,20
32_453_5430_30,train,640,20
32_455_5428_92,train,640,20
32_413_5317_27,train,640,20
32_462_5481_93,train,640,20
32_460_5483_99,train,640,20
32_467_5484_79,train,640,20
32_458_5429_62,train,640,20
32_455_5433_85,train,640,20
32_455_5427_15,train,640,20
32_411_5318_69,train,640,20
32_453_5428_26,train,640,20
32_454_5432_33,train,640,20
32_458_5428_55,train,640,20
32_416_5315_81,train,640,20
32_456_5429_43,train,640,20
32_458_5428_40,train,640,20
32_461_5481_32,train,640,20
32_464_5487_92,train,640,20
32_463_5486_85,train,640,20
32_411_5318_46,train,640,20
32_456_5426_21,train,640,20
32_457_5428_50,train,640,20
32_461_5482_90,train,640,20
32_461_5482_15,train,640,20
32_413_5317_55,train,640,20
32_463_5486_99,train,640,20
32_452_5429_13,train,640,20
32_455_5432_30,train,640,20
32_455_5427_17,train,640,20
32_456_5427_59,train,640,20
32_466_5482_6,train,640,20
32_413_5317_30,train,640,20
32_464_5485_21,train,640,20
32_411_5317_6,train,640,20
32_458_5428_8,train,640,20
32_416_5315_39,train,640,20
32_413_5315_63,train,640,20
32_461_5482_14,train,640,20
32_415_5315_39,train,640,20
32_458_5428_38,train,640,20
32_461_5482_19,train,640,20
32_462_5481_28,train,640,20
32_463_5422_29,train,640,20
32_466_5482_49,train,640,20
32_467_5483_62,train,640,20
32_463_5486_99,train,640,20
32_461_5482_29,train,640,20
32_460_5427_57,train,640,20
32_462_5481_45,train,640,20
32_462_5481_57,train,640,20
32_411_5318_20,train,640,20
