dop_kachel,tile_id,split
324645482,32_464_5482,train
324635487,32_463_5487,train
324625482,32_462_5482,train
324635484,32_463_5484,train
324615483,32_461_5483,train
324615484,32_461_5484,train
324585428,32_458_5428,val
324655480,32_465_5480,train
324595426,32_459_5426,test
324565426,32_456_5426,val
324655423,32_465_5423,test
324645422,32_464_5422,val
324605481,32_460_5481,train
324535427,32_453_5427,test
324565428,32_456_5428,test
324615427,32_461_5427,test
324555428,32_455_5428,val
324535428,32_453_5428,test
324625427,32_462_5427,val
324585430,32_458_5430,val
324575430,32_457_5430,test
324555434,32_455_5434,val
324595431,32_459_5431,val
324595432,32_459_5432,test
324555432,32_455_5432,test
324565427,32_456_5427,val
324595427,32_459_5427,val
324555433,32_455_5433,val
324535431,32_453_5431,val
324125319,32_412_5319,train
324125320,32_412_5320,train
324135320,32_413_5320,train
324185314,32_418_5314,train
324665423,32_466_5423,test
324135317,32_413_5317,train
324125316,32_412_5316,train
324165314,32_416_5314,train
324105317,32_410_5317,train
324155316,32_415_5316,train
324635424,32_463_5424,test
324635422,32_463_5422,val
324145318,32_414_5318,train
324175315,32_417_5315,train
324175314,32_417_5314,train
324155317,32_415_5317,train
324155315,32_415_5315,train
324115315,32_411_5315,train
324655485,32_465_5485,train
324145315,32_414_5315,train
324125317,32_412_5317,train
324115318,32_411_5318,train
324095315,32_409_5315,train
324125314,32_412_5314,train
324115317,32_411_5317,train
324645480,32_464_5480,train
324665484,32_466_5484,train
324635423,32_463_5423,val
324135318,32_413_5318,train
324165315,32_416_5315,train
324145317,32_414_5317,train
324095316,32_409_5316,train
324115316,32_411_5316,train
324115319,32_411_5319,train
324125315,32_412_5315,train
324135319,32_413_5319,train
324135316,32_413_5316,train
324125318,32_412_5318,train
324105315,32_410_5315,train
324625426,32_462_5426,test
324615425,32_461_5425,val
324595428,32_459_5428,test
324555427,32_455_5427,test
324635483,32_463_5483,train
324675483,32_467_5483,train
324605426,32_460_5426,test
324175316,32_417_5316,train
324615482,32_461_5482,train
324545427,32_454_5427,test
324575427,32_457_5427,val
324105318,32_410_5318,train
324145319,32_414_5319,train
324165316,32_416_5316,train
324095317,32_409_5317,train
324105319,32_410_5319,train
324105316,32_410_5316,train
324135315,32_413_5315,train
324145316,32_414_5316,train
324525428,32_452_5428,val
324685483,32_468_5483,train
324635482,32_463_5482,train
324675482,32_467_5482,train
324605425,32_460_5425,val
324585427,32_458_5427,test
324635425,32_463_5425,test
324555426,32_455_5426,val
324615481,32_461_5481,train
324645484,32_464_5484,train
324635481,32_463_5481,train
324595429,32_459_5429,test
324545430,32_454_5430,val
324585429,32_458_5429,test
324565429,32_456_5429,val
324535429,32_453_5429,test
324595430,32_459_5430,val
324525429,32_452_5429,val
324535430,32_453_5430,val
324545429,32_454_5429,test
324525430,32_452_5430,val
324545433,32_454_5433,val
324545431,32_454_5431,test
324585431,32_458_5431,test
324535432,32_453_5432,test
324545432,32_454_5432,test
324525431,32_452_5431,test
324555431,32_455_5431,val
324545428,32_454_5428,val
324605427,32_460_5427,val
324575428,32_457_5428,val
324615426,32_461_5426,val
324625480,32_462_5480,train
324635486,32_463_5486,train
324645487,32_464_5487,train
324665483,32_466_5483,train
324645485,32_464_5485,train
324635480,32_463_5480,train
324645486,32_464_5486,train
324605482,32_460_5482,train
324625484,32_462_5484,train
324685484,32_468_5484,train
324625483,32_462_5483,train
324655481,32_465_5481,train
324645481,32_464_5481,train
324645423,32_464_5423,val
324595484,32_459_5484,train
324655483,32_465_5483,train
324645483,32_464_5483,train
324605483,32_460_5483,train
324625481,32_462_5481,train
324665482,32_466_5482,train
324655482,32_465_5482,train
324635485,32_463_5485,train
324655484,32_465_5484,train
324675484,32_467_5484,train
